text;language;sentiment;hate
"ΕΠΙΤΡΕΠΕΤΑΙ; ΠΑΚΙΣΤΑΝΟΙ(εχθρική χώρα της Ελλαδας) πήραν άδεια για πορεία στην Αθήνα την 28η Οκτωβρίου;Για Ελληνες απαγόρευση για τους λαθρομετανάστες ..ξέφραγο αμπέλι; @ellinikilisi https://t.co/62wtcuFXua";greek;negative;1
Ήρθε από το ΕΜΠΌΛΕΜΟ Μπαγκλαντές κ ζήτησε ΆΣΥΛΟ ! Η Ελληνική κυβέρνηση το δέχθηκε ως νόμιμη αίτηση ασύλου κ του έδωσε το δικαίωμα να διαμένει στην χώρα Οι άτυχοι άνθρωποι του νοικισαν σπίτι αποδεχόμενοι την εγκληματική εισβολή τού Ισλάμ Κοινή η ευθύνη https://t.co/b07RScvppw https://t.co/pmwkIBh9YL;greek;negative;1
ΕΒΑΛΑΝ ΦΙΔΙ ΣΤΟΝ ΚΟΡΦΟ ΤΟΥΣ ...ΚΑΙ ΔΕΝ ΕΙΝΑΙ ΟΙ ΜΟΝΑΔΙΚΟΙ ...ΣΤΑΤΙΣΤΙΚΑ ΑΠΟΔΕΙΚΝΥΕΤΑΙ ΠΛΕΟΝ ΟΤΙ ΠΑΚΙΣΤΑΝΟΙ ΜΠΑΓΚΛΑΝΤΕΣΙΑΝΟΙ ΕΙΝΑΙ ΣΤΗΝ ΚΟΡΥΦΗ ΤΩΝ ΕΓΚΛΗΜΑΤΙΚΩΝ ΕΝΕΡΓΕΙΩΝ;greek;negative;1
@NorthEpirus @bogdanosk @orguel1984 ΣΥΝΕΧΙΖΟΥΝ ΑΚΑΘΕΚΤΟΙ ΤΟ ΜΠΟΛΙΑΣΜΑ!Μέσα σε λίγους μήνες «φύτεψαν» 4.199 #λαθρομετανάστες μόνο στο 6ο διαμέρισμα του δήμου Αθηναίων, μέσω του προγράμματος #ESTIA!Θέλουν να τελειώσουν την Ελλάδα! https://t.co/61hglhYnun;greek;negative;1
@rHTFtwZBI86GRr0 @BillP____ @gazzetta_gr Άσε τα πολιτικά και πήγαινε στην ουσία .Ο νόμος δεν είναι στα μέτρα μας και την ηθικη μας έχουν δικά τους μέτρα.Χωρίς χαρτιά είναι χωρίς το κατάλαβες!Το ότι οι άλλοι πήγαν να κάνουν έγκλημα ναι !Τωρα τι εινσι αυτό που θέλεις εσυ να πεις ?Μπατε σκύλοι αλέστε και αλεστηκα όχι !;greek;negative;1
RT @akrokentrwos: Λαθρομετανάστες στο Σουφλί εφραξαν το δρόμο με κλαδιά και επιτέθηκαν σε διερχόμενο όχημα. #Θα_ενσωματωθουν https://t.co…;greek;negative;1
οι δήθεν αντιρατσιστές,αντιφασίστες και δήθεν μεγάλα θύματα της ανθρωπότητας απο τον Αδόλφο Ρότσιλντ, μιας και υιοθέτησε το επίθετο της πεθεράς του Χίτλερ ο κύριος που είχε εβραϊκές και Πολωνικές ρίζες και όχι Γερμανικές, τον οποίο χρησιμοποίησε ο διεθνής εβραιοσιωνισμός και η μασονία για να στήσουν το ψευδοολοκαύτωμα, θυσιάζοντας 10.000 εβραίους γι αυτό, πατώντας επάνω στον συναισθηματισμό και την ανθρωπιά των λάων, με την δική παρωδία στην Νυρεμβέργη. Μάλιστα ο Παππούς Ρότσιλντ αφήνει έγκυο την καμαριέρα του και το νώθο εγγόνι του Ρότσιλντ κρύβεται επιμελώς. Μεγαλώνει με μαθήματα μίσους για τους Έλληνες και τον Χριστιανισμό και σε ηλικία γάμου υιοθετεί το επίθετο της πεθεράς του και καίει το χωριό του πατέρα και της μητέρας του ,για να κρύψει τα ίχνη του, ενώ όταν ιδρύει την εβραιοναζιστική αυτοκρατορία του, στέλνει στην Ελλάδα τους Γερμανόφωνους εβραίους, για να μπορούν σήμερα να δολοφονούν με την μάσκα του Αμερικάνου όλα τα έθνη και να μιλούν για αντισημιτισμό όταν τους γίνεται δίκαια κριτική για τα ΕΓΚΛΗΜΑΤΑ τους ,με τα οποία πλουτίζουν αρπάζοντας άδικα τις ξένες περιουσίες λαών και απο τους πόλεμους που κάνουν με την πώληση όπλων, ενώ συγχρόνως απαιτούν με θράσος την ανέγερση μαγαρισμένων μουσείων του δήθεν ολοκαυτώματος τους και παγκόσμια αναγνώριση και ασυλία σε οποιαδήποτε δολοφονική τους ενέργεια, προβάλοντας το στημένο δήθεν ολοκαύτωμά τους. Προφανώς ξεχνούν ότι ο εβραιοκουμουνιστής Μάο είχε διαπράξει περισσότερους θανάτους απο εκείνες του εβραιοπολωνού Αδόλφου Ροτσιλντ. Προφανώς ξεχνούν ότι ολοκαύτωμα είναι Ελληνική λέξη και ότι σημαίνει ότι κάποιος για τις ιδέες του προτάσει το στήθος του και προτρέπει τον άλλον να τον σκοτώσει γιατί δεν σκοπεύει να τις απαρνηθεί. Προφανώς ξεχνούν ότι ενώ κάνουν υποδείξεις σε όλον τον κόσμο, ρατσιστικά,φασιστικά και ψυχασθενικά δεν επιτρέπουν σε κανέναν πρόσφυγα να μεταναστεύσει στο μη αναγνωρισμένο κρατίδιο τους. Προφανώς ξεχνούν ότι είναι νόμος στο φασιστικό,ρατσιστικό και ψυχασθενικό ισραήλ, η σύναψη οποιουδήποτε τύπου σχέσεων με μη εβραίους. Προφανώς ξεχνούν ότι λειτουργούν δημόσιες υπηρεσίες κατάδοσης εβραίων που μπασταρδεύουν το δήθεν καθαρό αίμα των εβραίων και την στάση που πήραν όλοι οι υπάνθρωποι πολιτικοί στο μη αναγνωρισμένο ισραήλ, όταν αποκαλύφθηκε η σχέση του γιού του Νετανιάχου με την Χριστιανή γκόϊμ (ακάθαρτη!);greek;negative;1
Εκει πήγαν οι Τουρκοι για να ανωρθοσουν το ισλαμικο κρατος τα υπολοιπα ειναι ψεμα οπως ωεμα ειναι το προσφυγικό δεν έρχονται προσφυγες στη Ελλαδα αλλα εποικοι και αν συνεχίσουμε ετσι θα χασουμε την πατριδα που με ποταμους αιματος ελευθερωσαν οι πρόγονοι μας SOS Ελληνα ξύπνα σου κλεβουν την πατριδα ο μεγαλητερος κινδυνος για την Ελλαδα ειναι οι Ισλαμιστες που έρχονται σοριδον εδω οι Κουρδοι δεν πρόκειται να πουλησουν την πατριδα τους θα μηνουν να πολεμήσουν αυτοι που θα ερθους θα ειναι ισλαμιστες τα αλλα ειναι προπαγανδα η Ελλαδα κινδυνεύει ποιο πολύ και απο την εποχη που ο ιμπραΐμ σάρωνε την πελοπονησο γιατι τοτε ειχαμε τον Παπαφλεσα των Κολοκοτρονη ενω σημερα μας κυβερνουν δοσιλογοι και προσκηνημενοι;greek;negative;1
Το χειρότερο κράτος στην Ανατολή που πρέπει να εξαφανιστεί από τον χάρτη είναι η Τουρκία;greek;negative;1
το ισλαμ λειτουργει ως οδοστρωτηρας... δν γινεται να ζησουμε με αυτους... εχεις δικαιο...;greek;negative;1
Θεοκρατικος φασισμος σε ολο του το μεγαλειο.Βαζουμε αναχρονισμο και μια γερη δοση σκοταδισμου και το Ισλαμ ειναι ετοιμο.Κακη σας ορεξη!;greek;negative;1
αφου η μαλακια της ελλαδας και της ευρωπης με τα ανοιχτα συνορα και τα ανθρωπιλικια, επιασε κοκκινο και ακομα καλα κρατει, τωρα ειναι παρα πολυ αργα κυριε ζαν για να αλλαξει κατι, η κατασταση ειναι μη αναστρεψιμη, θα τους τρωμε μια ζωη στη μαπα , θα μας βριζουν και θα μας φτυνουν τα παιδια μας που επετρεψαν οι δικες μας οι γενιες να τριτοκοσμικοποιηθουν οι πατριδες μας, δεν ειχαμε δικαιωμα αυτο να το κανουμε, ειμαστε υπολογοι και στις παλιοτερες γενιες και στις επομενες;greek;negative;1
TI SYZHTAME TWRA ..... TRIZOUN TA KOKALA TOU KOLOKORWNH TOU KARAISKAKH KLP KLP GIA NA MHN PAW PIO PISW STON ARISTOTELH PLATWNA , SWKRATH KAI KOMPANIA ... EKSW ,,,,....... BRE OKSW KAI PISW STO MESAIWNA;greek;negative;1
Χίλια μπράβο κύριε Cohen. Δικαίωμα μας να ζούμε με τον τρόπο που μας αρέσει και να πιστεύουμε στις αξίες που αγαπάμε. Ζήτω η ΕΛΕΥΘΕΡΙΑ. Έξω το Ισλάμ από την Ελλάδα, μακριά και στον αγύριστο.;greek;negative;1
the political correct (η βλακεια σε ολη της το μεγαλειο) δειτε τι ακολουθει το .... πολιτικα ορθο (αριστερη εφευρεση) https://www.youtube.com/watch?v=CwGjX1BO790 Δεν μπορει λογικος ανθρωπος να διαβασει το Κορανι και να γινει πιστος....Η βιβλος της μισαλλοδοξιας! Ο χριστιανισμος πχ λεει : οσοι πιστοι προσελθετε ...Οχι με το ζορι ρε αδερφε ...Δεν γουσταρω!;greek;negative;1
"Απορρίπτω την Ευρώπη. Απορρίπτω τον ηθικό της ξεπεσμό. Δεν ενέχομαι να πηγαίνω σε ένα μπαρ και να βλέπω κοριτσάκια 12-13 χρονών να κρατούν στο ένα χέρι το ποτό και στο άλλο χέρι το τσιγάρο, και ο κώλος τους και το στρινγκ να είναι έξω από το παντελόνι. Απορρίπτω την Ευρώπη όπου κοριτσάκια ήδη από την ηλικία των 14-15 έχουν ξεκινήσει τις εκτρώσεις. Απορρίπτω το δικαίωμα κάποιων ανεύθυνων γυναικών στην έκτρωση. Απορρίπτω το δικαίωμα κάποιων πορνών στο να μεταφράζουν τη δολοφονία ενός αγέννητου μωρού δικαίωμα λέγοντας: είναι ατομικό μου δικαίωμα, είναι ένα κομμάτι από το σώμα μου . Απορρίπτω το να έχουν δικαιώματα οι βιαστές, οι δολοφόνοι, οι εγκληματίες, οι παιδεραστές, απορρίπτω το δικαίωμα τους στην ίδια τη ζωή. Απορρίπτω το να έχει γεμίσει κάθε κανάλι και από έναν τοιούτο, απορρίπτω το δικαίωμα τους να κάνουν παρελάσεις υποδηλώνοντας έτσι την υπερηφάνεια τους επειδή βάζουν μια πούτσα στον κώλο τους. Απορρίπτω το δήθεν δικαίωμα τους να υιοθετούν παιδιά. Τα δικαιώματα των παιδιών να εχουν έναν πατέρα και μία μητέρα, έτσι όπως ορίζει η φύση (ο Θεός για μένα), τα σκέφτηκε κανείς; Αλλά ξέχασα, δεν υπάρχει πλέον πατέρας και μητέρα, υπάρχει γονιός α και γονιός β . Ε εγώ λοιπόν ΑΠΟΡΡΊΠΤΩ αυτόν τον ξεπεσμό. Απορρίπτω το δικαίωμα κάποιων να βρίζουν τα θεία, τον Θεό, τον Ιησού, τη μητέρα του, τους Προφήτες κ.α. Απορρίπτω το δικαίωμα ορισμένων που υπό το πρόσχημα της ελεύθερης έκφρασης, βλασφημούν τα θεία. Απορρίπτω τη διάδωση αθεϊστικών ψευτοφιλελέ και αριστεροκουλτουριάρικων ιδεών απλά επειδή έτσι προστάζει η Δημοκρατία . Απορρίπτω το δικαίωμα στη ζωή ενός που μπαίνει σε ένα σπίτι και το ρημάζει, και ο ιδιοκτήτης του σπιτιού δεν έχει το δικαίωμα σκοτώσει τον εισβολέα, ανεξαρτήτως αν ο εισβολέας έχει όπλο ή όχι. Απορρίπτω την ψευτοπρόοδο του να διδάσκουν στο παιδί μου την ύπαρξη δήθεν ενός τρίτου κοινωνικού φύλου ή της ψευτοθεωρία του Δραβίνου. Απορρίπτω και το δικαίωμα των γονέων που δέχονται να διδάσκονται στα παιδιά τους τέτοια πράγματα. Απορρίπτω το δικαίωμα στην ελευθερία των γονιών που αποδέχονται να διδάσκονται τα παιδιά τους τέτοιες ανωμαλίες. Απορρίπτω το δικαίωμα κάποιων να μεθοκοπούν, απλά και μόνο επειδή έτσι γουστάρουν. Απορρίπτω το δικαίωμα στη ζωή κάποιων που σπάνε τράπεζες, δημόσια κτήρια, αυτοκίνητα, καταστρέφουν την περιουσία του κόσμου ή τη Δημόσια περιουσία. Απορρίπτω την κατάσταση όπου κάποιος πετάει μια μολότοφ και η αστυνομία ρίχνει στον αέρα αντί να του ρίξει του αλήτη μια σφαίρα στο κεφάλι. Αυτές είναι οι αξίες σας. Πάρτε αυτές τις αξίες και βάλτε τις στον κ@@ο σας. Σας τις χαρίζω.";greek;negative;1
Ωραία πάω να φάω χειρινό προς τιμή του ψεύτικου Θεού τους Αλλάχ;greek;negative;1
Η γιορτή του αντίχριστου και των παιδεραστών ονόματι μουσουλμάνων;greek;negative;1
Χάσαμε Μακεδονία, η Αλβανία μας σέρνει Χάγη δημογραφικά πεθαίνουμε γεμιζει η χωρα με λαθρομετανάστες και οι Έλληνες επιμένουν να στηρίζουν @neademokratia που απλά παρακολουθει το χάος που έρχεται! ΚΡΙΜΑ! @ellinikilisi https://t.co/uwhYLZ6KOQ;greek;negative;1
#ασυνόδευτα #ΑΠΕΛΑΣΗ #ΑΠΕΛΑΣΗ_ΤΩΡΑ #ΑΠΕΛΑΣΕΙΣ #Πρώτα_η_Ελλάδα #Πρώτα_οι_Έλληνες #λαθρομετανάστες #λαθρομεταναστευτικό #λαθρο #αντικατάσταση_πληθυσμού #δημογραφική_αλλοίωση #μεταναστευτικό #δολοφονία;greek;negative;1
@leftgr Μπράβο...πίσω στα μπουρδέλα τους οι λαθρομετανάστες;greek;negative;1
@Iasonas_Apost Μπράβο στο λιμενικό..πίσω οι λαθρομετανάστες;greek;negative;1
@Urfurslaag Πίσω οι στα μπουρδέλα τους οι λαθρομετανάστες και συ μαζί.;greek;negative;1
@kostasbarkas @nhardalias Βρε γελοιε φαλακρομπουλη κάθε μέρα στην Θεσσαλονίκη είχαμε πορεία... Μια για την λουλου, μια για τους λαθρομετανάστες κλπ... Όλα τα παρταλια που στηρίζετε... ΠΕΤΑΜΕΝΕ ΜΑΛΑΚΑ;greek;negative;1
Από τα 1259 κρούσματα πόσοι είναι λαθρομετανάστες που τους αφήνετε να γυρίζουν μπουλούκια στις πλατείες , στους δρόμους παντού, και να σκορπάνε τον ιό χέζοντας και να κατουράνε τα πάντα στο διάβα τους. Απορώ τι φοβάστε ???;greek;negative;1
Εαν παρελάσουν οι Πακιστανοί λαθρομετανάστες θα φυλακιστούν? Ερώτηση στα Λαμόγια που πήραν αυτά τα μέτρα.;greek;negative;1
"#ΣΥΡΙΖΑ_ξεφτιλες #μορια #μεταναστευτικό Τι έγινε ρε αριστερά κοπρόσκυλα με τον θάνατο 2 ηλικιωμένων στα Χανιά.Αυτοί δεν έχουν ψυχή ή μήπως το βουλωνετε επειδή ειναι από το Μπαγκλαντές ο φονιάς;";greek;negative;1
@makednos34 @NorthEpirus @bogdanosk @orguel1984 Η κυβέρνηση της ΝΔ συνεχίζει το εγκληματικό έργο των συριζοφασιστων στην λαθρομετανάστευση μεταφέροντας λαθρομετανάστες στην ενδοχώρα ερήμην των Ελλήνων πολιτών εξασφαλίζοντας τους υπηκοότητα επιδόματα δωρεάν σίτιση ιατροφαρμακευτικη περιθαλψη στέγαση σε βάρος των Ελλήνων πολιτών https://t.co/bkmfbnRUk5;greek;negative;1
@orguel1984 @makednos34 @NorthEpirus @bogdanosk Η κυβέρνηση της ΝΔ συνεχίζει το εγκληματικό έργο των συριζοφασιστων στην λαθρομετανάστευση μεταφέροντας λαθρομετανάστες στην ενδοχώρα ερήμην των Ελλήνων πολιτών εξασφαλίζοντας τους υπηκοότητα επιδόματα δωρεάν σίτιση ιατροφαρμακευτικη περιθαλψη στέγαση σε βάρος των Ελλήνων πολιτών https://t.co/llqNXw4w9T;greek;negative;1
@orguel1984 @makednos34 @NorthEpirus @bogdanosk Δυστυχώς η ΝΔ συνεχίζει πολιτική της λαθρομετανάστευσης, μεταφέροντας παράνομα δεκάδες χιλιάδες λαθρομετανάστες στην ενδοχώρα ερήμην των τοπικών κοινωνιών και του ελληνικού λαού Παρανόμως τους χορηγεί υπηκοότητα και επιβάλει στους Έλληνες βίαια να συνυπάρξουν με λαθρομετανάστες;greek;negative;1
@NourisNicos @emilyyiolitis @Cyprus_Police Οι λαθρομετανάστες εχουν ασυλία. Το δικό μας παιδί εκατεβασε μια σημαία του ψευδοκρατους και τον βαλατε να απολογηθεί στον Ακκιντζϊ. Αίσχος ρε ΔΟΥΛΟΙ. Εξω απο την κυβέρνηση;greek;negative;1
@bogdanosk Ελα βρε σοβαρά....Γέμισαν και γεμίζουν την Ελλάδα με λαθρομετανάστες και μας πουλάνε πατριωτικά παπατζιλικη @AdonisGeorgiadi @nmitarakis @grigoris_d @bogdanosk;greek;negative;1
@orguel1984 @NorthEpirus @bogdanosk ΣΥΝΕΧΙΖΟΥΝ ΑΚΑΘΕΚΤΟΙ ΤΟ ΜΠΟΛΙΑΣΜΑ!Μέσα σε λίγους μήνες «φύτεψαν» 4.199 #λαθρομετανάστες μόνο στο 6ο διαμέρισμα του δήμου Αθηναίων, μέσω του προγράμματος #ESTIA!Θέλουν να τελειώσουν την Ελλάδα! https://t.co/61hglhYnun;greek;negative;1
@bogdanosk @MakeMyDayPunk_ Κάτι είπες για προκλητικές μοτοπορίες... https://t.co/yQxLOsccA0;greek;negative;1
"@nikosarantakos Το ότι η χωρα ήταν ένα ξέφραγο αμπέλι που ο καθένας έμπαινε και έβγαινε χωρίς έλεγχο, που όλοι, τζιχαντιστες και διάφοροι οικονομικοί λαθρομετανάστες βαφτιζονταν μετανάστες, που οι ΜΚΟ έκαναν business και κατασκοπία χωρίς να τους πειράζει κανεις το λέμε κανονικότητα, ε;";greek;negative;1
Όταν έρχονται μουσουλμάνοι λαθρομετανάστες να τους υποδεχόμαστε δείχνοντας τις σόλες από τα παπούτσια κ να τους κερνάμε χοιρινό, μπας κ μαθευτεί κ σταματήσουν να έρχονται.;greek;negative;1
"@AthanDim @stylian0s Γιατί τους βαφτίζουν μετανάστες το κέρατο τους μέσα... Τους τσεκαρε κάνεις και βγήκαν μετανάστες; Παράνομοι εισβολείς είναι που παραβίασαν σύνορα χώρας. Λαθρομετανάστες είναι. Και ούτε προσφυγοπουλα ούτε ανήλικα ούτε κατατρεγμένοι από πολέμους!!! Έλεος πια";greek;negative;1
Εκεί δεν κολλάει ο ιός γιατί είναι όλοι τους άρρωστοι.Τους έβγαλαν από τις φυλακές και γλύτωσαν οι χώρες τους.Δείτε με τι θράσος απαιτούν ενώ δεν έχουν προσφέρει τίποτα.Τι τους έταξαν.Θα μάθουμε τα ήθη και έθιμα τους.Εμείς θα πάμε με αυτούς και όχι αυτοί με μας.Μας προδωσαν ΞΥΠΝΑ;greek;negative;1
@AdonisGeorgiadi Γέμισαν και γεμίζουν την Ελλάδα με λαθρομετανάστες και μας πουλάνε πατριωτικά παπατζιλικη @AdonisGeorgiadi @nmitarakis @grigoris_d @bogdanosk;greek;negative;1
@EAdamopoulou @MaryTzaki Να εύχεσαι κοπελιά να μην μπει ο Ερντογάν σε αυτό το μπουρδελο που το λετε ελλαδα και πάρεις τα παιδιά για μετανάστευση με τά πόδια;greek;negative;1
Ζητω η Ινδια και να πανεν α γαμηθουν οι λαθροπακιστανοι;greek;negative;1
Ο παρολίγο βιαστής είναι πρώην φυλακισμένος Γιατί δεν απελάθηκε ? Έχει άδεια παραμονής ή άσυλο ? Οι τοπικές κοινωνίες γιατί χρησιμοποιούν λαθρομετανάστες αλλοιώνοντας τον ήδη μικρό Ελληνικό πληθυσμό ? Το κοινωνικό κόστος είναι μεγαλύτερο από τα οφέλη... https://t.co/hwaRbuJKLH https://t.co/HE3JjiIe98;greek;negative;1
"Ελληνικο αιμα ρεει αφθονο απο εισαγομενους λαθρομετανάστες @nmitarakis @AdonisGeorgiadi @bogdanosk @AnnaAsimakopoul χερια βαμενα με Ελληνικο αιμα γνωστοι τοις πασι, Επιτροπες Ασυλου,ΜΚΟ ανθρωπιστες αλληλεγγυοι Ποιος θα να ειναι ο επομενος; -https://t.co/IgTu1xAnY8";greek;negative;1
@INVICTU49276943 @machiavelli_gr @STsiodras Το μόνο μέτρο που πρέπει να πάρει είναι να απελασει τους λαθρομετανάστες και λύνει το πρόβλημα;greek;negative;1
@Dora_Bakoyannis Πριν από 80 χρόνια ρηξαμε στην θάλασσα τόν εχθρό και τώρα με αυτήν την πιο μεγάλη επιδημία θα χάσουν τα σπίτια η Έλληνες για να έρθουν η Λαθρομετανάστες να τα πάρουν αυτή είναι η Ελλάδα;greek;negative;1
Γεμίζουν την Ελλάδα με λαθρομετανάστες,καταργούν εθνικές εορτές με την απειλή φυλάκισης και μας πουλάνε πατριωτικά παπατζιλικια ,σημερα γιορτάζουν ΚομΜουνιστες και λαθρομετανάστες @AdonisGeorgiadi @nmitarakis @grigoris_d @bogdanosk συγχαρητήρια https://t.co/V4FTFnwrYE;greek;negative;1
Οι ανθέλληνες απαγόρευσαν στους Έλληνες να παρελάσουν #ΝΔ @K_Hatzidakis @chrisochoidis @AdonisGeorgiadi @PrimeministerGR @bogdanosk @grigoris_d @nmitarakis @nkerameus @kyranakis @Dora_Bakoyannis @AnnaAsimakopoul Σήμερα γιορτάζουν οι ΚομΜουνιστες και λαθρομετανάστες https://t.co/RAK6a5X3py;greek;negative;1
Στο Μπανανιστάν πρώτα η ίδια η πολιτεία φρόντισε να κάνει τις Θερμοπύλες χοτ σποτ για ισλαμιστές και να τις απαξιώσει και φυσικά και από δίπλα οι εγχώριοι μπολσεβίκοι βανδαλίζουν το άγαλμα του μεγάλου Βασιλιά Λεωνίδα όποτε βρουν ευκαιρία https://t.co/sgOgRn62aK;greek;negative;1
Γεμίζουν την Ελλάδα με λαθρομετανάστες,καταργούν εθνικές εορτές με την απειλή φυλάκισης και μας πουλάνε πατριωτικά παπατζιλικια ,σημερα γιορτάζουν ΚομΜουνιστες και λαθρομετανάστες @AdonisGeorgiadi @nmitarakis @grigoris_d @bogdanosk συγχαρητήρια https://t.co/TRnRXy2sfV;greek;negative;1
#απελαση_τωρα;greek;negative;1
Δεν περνάει κανεις λεμε;greek;negative;1
Λέσβος #28ηΟκτωβριου 2020: Απειλές στους Έλληνες για τη συγκέντρωση... απαγόρευση για πορεία, πρόστιμα για μάσκες... και οι #λαθρομετανάστες ανενόχλητοι κάνουν ΟΤΙ θέλουν! Δεν μας αξίζει αυτή η Ελλάδα... #ΥΠΑΡΧΕΙΛΥΣΗ @ellinikilisi @velopky https://t.co/KLxohH5Hmf;greek;negative;1
@bogdanosk Γεμίζουν την Ελλάδα με λαθρομετανάστες,καταργούν εθνικές εορτές με την απειλή φυλάκισης και μας πουλάνε πατριωτικά παπατζιλικια ,σημερα γιορτάζουν ΚομΜουνιστες και λαθρομετανάστες @AdonisGeorgiadi @nmitarakis @grigoris_d @bogdanosk συγχαρητήρια https://t.co/V4FTFnwrYE;greek;negative;1
@grigoris_d Γεμίζουν την Ελλάδα με λαθρομετανάστες,καταργούν εθνικές εορτές με την απειλή φυλάκισης και μας πουλάνε πατριωτικά παπατζιλικια ,σημερα γιορτάζουν ΚομΜουνιστες και λαθρομετανάστες @AdonisGeorgiadi @nmitarakis @grigoris_d @grigoris_d @bogdanosk https://t.co/V4FTFnwrYE;greek;negative;1
Λέσβος 28η Οκτωβρίου 2020: Πρωτόγνωρες εικόνες την ημέρα της Εθνικής μας Επετείου - Απαγορεύουν παρελάσεις ,επιβάλλουν πρόστιμα ακόμα και με ποινή φυλάκισης την στιγμή που οι λαθρομετανάστες κάνουν ανενόχλητοι ότι θέλουν...@velopky https://t.co/cpabpbaAT0;greek;negative;1
Λέσβος 28η Οκτωβρίου 2020: Πρωτόγνωρες εικόνες την ημέρα της Εθνικής μας Επετείου - Απαγορεύουν παρελάσεις ,επιβάλλουν πρόστιμα ακόμα και με ποινή φυλάκισης την στιγμή που οι λαθρομετανάστες κάνουν ανενόχλητοι ότι θέλουν. https://t.co/R1iS7GYqbc Ανθέλληνες @bogdanosk;greek;negative;1
